zip,state,city,lat,lng
35004,AL,Acmar,33.584132,-86.51557
35005,AL,Adamsville,33.588437,-86.959727
35006,AL,Adger,33.434277,-87.167455
35007,AL,Keystone,33.236868,-86.812861
35010,AL,New Site,32.941445,-85.951086
35014,AL,Alpine,33.331165,-86.208934
35016,AL,Arab,34.328339,-86.489638
35019,AL,Baileyton,34.268298,-86.621299
35020,AL,Bessemer,33.409002,-86.947547
35023,AL,Hueytown,33.414625,-86.999607
35031,AL,Blountsville,34.092937,-86.568628
35033,AL,Bremen,33.973664,-87.004281
35034,AL,Brent,32.93567,-87.211387
35035,AL,Brierfield,33.042747,-86.951672
